colour	fill	y	x	density	scaled	count	n	showSelectedlegendcolourfill	group	ymin	ymax
#F564E3	#F564E3	0.00650085118791554	42.1722113502935	0.00650085118791554	0.105598975796634	56.9019504478247	8753	US	6	0	0.00650085118791554
#F8766D	#F8766D	0.00782630455930768	42.2700587084149	0.00782630455930768	0.127574360313968	7.62282064076568	974	AU	1	0	0.00782630455930768
#B79F00	#B79F00	0.00697066152230217	42.2700587084149	0.00697066152230217	0.110269537635306	6.4408912466072	924	CA	2	0	0.00697066152230217
#00BA38	#00BA38	0.0100524996297946	42.2700587084149	0.0100524996297946	0.149303061527646	15.3903769332155	1531	GB	3	0	0.0100524996297946
#00BFC4	#00BFC4	0.0242382166867765	42.2700587084149	0.0242382166867765	0.434685538594986	35.4847492294408	1464	IN	4	0	0.0242382166867765
#619CFF	#619CFF	0.0206273392408002	42.2700587084149	0.0206273392408002	0.341370583762303	13.3871431672793	649	PH	5	0	0.0206273392408002
#F564E3	#F564E3	0.00622884940716439	42.2700587084149	0.00622884940716439	0.10118061447257	54.5211188609099	8753	US	6	0	0.00622884940716439
#F8766D	#F8766D	0.00744608765090258	42.3679060665362	0.00744608765090258	0.12137655284267	7.25248937197911	974	AU	1	0	0.00744608765090258
#B79F00	#B79F00	0.00675121022927463	42.3679060665362	0.00675121022927463	0.106798017387451	6.23811825184975	924	CA	2	0	0.00675121022927463
#00BA38	#00BA38	0.00961676907632216	42.3679060665362	0.00961676907632216	0.14283144670244	14.7232734558492	1531	GB	3	0	0.00961676907632216
#00BFC4	#00BFC4	0.023757887154767	42.3679060665362	0.023757887154767	0.426071361074305	34.7815467945788	1464	IN	4	0	0.023757887154767
#619CFF	#619CFF	0.0198638859493228	42.3679060665362	0.0198638859493228	0.328735871512485	12.8916619811105	649	PH	5	0	0.0198638859493228
#F564E3	#F564E3	0.00595547173756663	42.3679060665362	0.00595547173756663	0.0967399033901724	52.1282441189208	8753	US	6	0	0.00595547173756663
#F8766D	#F8766D	0.00707704465040988	42.4657534246575	0.00707704465040988	0.115360888059958	6.89304148949922	974	AU	1	0	0.00707704465040988
#B79F00	#B79F00	0.00653508150953319	42.4657534246575	0.00653508150953319	0.103379057232902	6.03841531480867	924	CA	2	0	0.00653508150953319
#00BA38	#00BA38	0.00920118536594553	42.4657534246575	0.00920118536594553	0.136659059478833	14.0870147952626	1531	GB	3	0	0.00920118536594553
#00BFC4	#00BFC4	0.0232833040642312	42.4657534246575	0.0232833040642312	0.417560239609244	34.0867571500345	1464	IN	4	0	0.0232833040642312
#619CFF	#619CFF	0.0191206527489783	42.4657534246575	0.0191206527489783	0.316435790124805	12.4093036340869	649	PH	5	0	0.0191206527489783
#F564E3	#F564E3	0.00568196029829931	42.4657534246575	0.00568196029829931	0.0922970193707717	49.7341984910139	8753	US	6	0	0.00568196029829931
#F8766D	#F8766D	0.00671942778092011	42.5636007827789	0.00671942778092011	0.109531477382554	6.54472265861619	974	AU	1	0	0.00671942778092011
#B79F00	#B79F00	0.00632221888390082	42.5636007827789	0.00632221888390082	0.100011763722348	5.84173024872436	924	CA	2	0	0.00632221888390082
#00BA38	#00BA38	0.00880533724572505	42.5636007827789	0.00880533724572505	0.130779791791649	13.480971323205	1531	GB	3	0	0.00880533724572505
#00BFC4	#00BFC4	0.0228143331596185	42.5636007827789	0.0228143331596185	0.409149766475379	33.4001837456815	1464	IN	4	0	0.0228143331596185
#619CFF	#619CFF	0.0184018439081972	42.5636007827789	0.0184018439081972	0.304539917820267	11.94279669642	649	PH	5	0	0.0184018439081972
#F564E3	#F564E3	0.00541013447909186	42.5636007827789	0.00541013447909186	0.0878815163429917	47.354907095491	8753	US	6	0	0.00541013447909186
#F8766D	#F8766D	0.00637345930761656	42.6614481409002	0.00637345930761656	0.103891943891871	6.20774936561853	974	AU	1	0	0.00637345930761656
#B79F00	#B79F00	0.00611254878504206	42.6614481409002	0.00611254878504206	0.0966949730873221	5.64799507737886	924	CA	2	0	0.00611254878504206
#00BA38	#00BA38	0.00843161837904586	42.6614481409002	0.00843161837904586	0.125229195124083	12.9088077383192	1531	GB	3	0	0.00843161837904586
#00BFC4	#00BFC4	0.0223524110881099	42.6614481409002	0.0223524110881099	0.400865706346806	32.7239298329929	1464	IN	4	0	0.0223524110881099
#619CFF	#619CFF	0.0177015120500824	42.6614481409002	0.0177015120500824	0.292949828936718	11.4882813205035	649	PH	5	0	0.0177015120500824
#F564E3	#F564E3	0.00514272747017538	42.6614481409002	0.00514272747017538	0.0835377918911979	45.0142935464451	8753	US	6	0	0.00514272747017538
#F8766D	#F8766D	0.00604245423666957	42.7592954990215	0.00604245423666957	0.0984963245587951	5.88535042651616	974	AU	1	0	0.00604245423666957
#B79F00	#B79F00	0.00590673301793555	42.7592954990215	0.00590673301793555	0.0934391544818313	5.45782130857245	924	CA	2	0	0.00590673301793555
#00BA38	#00BA38	0.00807756123293817	42.7592954990215	0.00807756123293817	0.119970620857346	12.3667462476283	1531	GB	3	0	0.00807756123293817
#00BFC4	#00BFC4	0.0218960226861612	42.7592954990215	0.0218960226861612	0.392680886445522	32.0557772125401	1464	IN	4	0	0.0218960226861612
#619CFF	#619CFF	0.017019162956043	42.7592954990215	0.017019162956043	0.281657344441132	11.0454367584719	649	PH	5	0	0.017019162956043
#F564E3	#F564E3	0.00488164211162067	42.7592954990215	0.00488164211162067	0.0792967555004365	42.7290134030157	8753	US	6	0	0.00488164211162067
#F8766D	#F8766D	0.00572370459868788	42.8571428571429	0.00572370459868788	0.0933004775459847	5.574888279122	974	AU	1	0	0.00572370459868788
#B79F00	#B79F00	0.00570392490172906	42.8571428571429	0.00570392490172906	0.090230914183371	5.27042660919765	924	CA	2	0	0.00570392490172906
#00BA38	#00BA38	0.00774094077270376	42.8571428571429	0.00774094077270376	0.114971022037479	11.8513803230095	1531	GB	3	0	0.00774094077270376
