fill	x	y	group	xmin	xmax	ymin	ymax
#132B43	36	26	-1	35.5	36.5	25.5	26.5
#132B43	38	26	-1	37.5	38.5	25.5	26.5
#132B43	39	26	-1	38.5	39.5	25.5	26.5
#132B43	41	26	-1	40.5	41.5	25.5	26.5
#132B43	20	27	-1	19.5	20.5	26.5	27.5
#132C44	25	27	-1	24.5	25.5	26.5	27.5
#142D45	26	27	-1	25.5	26.5	26.5	27.5
#142D46	27	27	-1	26.5	27.5	26.5	27.5
#16314C	28	27	-1	27.5	28.5	26.5	27.5
#153049	29	27	-1	28.5	29.5	26.5	27.5
#132B43	30	27	-1	29.5	30.5	26.5	27.5
#132C44	31	27	-1	30.5	31.5	26.5	27.5
#152F48	32	27	-1	31.5	32.5	26.5	27.5
#17324D	33	27	-1	32.5	33.5	26.5	27.5
#142D46	34	27	-1	33.5	34.5	26.5	27.5
#16314B	35	27	-1	34.5	35.5	26.5	27.5
#132C44	37	27	-1	36.5	37.5	26.5	27.5
#132B43	39	27	-1	38.5	39.5	26.5	27.5
#132C44	40	27	-1	39.5	40.5	26.5	27.5
#142D45	24	28	-1	23.5	24.5	27.5	28.5
#132C44	25	28	-1	24.5	25.5	27.5	28.5
#132C44	26	28	-1	25.5	26.5	27.5	28.5
#152F48	27	28	-1	26.5	27.5	27.5	28.5
#152F48	28	28	-1	27.5	28.5	27.5	28.5
#152F48	29	28	-1	28.5	29.5	27.5	28.5
#17324D	30	28	-1	29.5	30.5	27.5	28.5
#152F48	31	28	-1	30.5	31.5	27.5	28.5
#16314C	32	28	-1	31.5	32.5	27.5	28.5
#183551	33	28	-1	32.5	33.5	27.5	28.5
#142D46	34	28	-1	33.5	34.5	27.5	28.5
#153049	35	28	-1	34.5	35.5	27.5	28.5
#132C44	36	28	-1	35.5	36.5	27.5	28.5
#132B43	37	28	-1	36.5	37.5	27.5	28.5
#132B43	38	28	-1	37.5	38.5	27.5	28.5
#132C44	22	29	-1	21.5	22.5	28.5	29.5
#142D45	23	29	-1	22.5	23.5	28.5	29.5
#153049	25	29	-1	24.5	25.5	28.5	29.5
#132B43	26	29	-1	25.5	26.5	28.5	29.5
#152E47	27	29	-1	26.5	27.5	28.5	29.5
#183550	28	29	-1	27.5	28.5	28.5	29.5
#153049	29	29	-1	28.5	29.5	28.5	29.5
#183550	30	29	-1	29.5	30.5	28.5	29.5
#183550	31	29	-1	30.5	31.5	28.5	29.5
